letter,weight,rel_weight,x_avg,y_avg,rel_x_avg,rel_y_avg,inertia_x,inertia_y,rel_inertia_x,rel_inertia_y
а,770,0.3900709219858156,19.053246753246754,25.28181818181818,0.44032309154260374,0.5278656126482213,438.7664715803677,216.62487603305786,0.11043706810479932,0.054524257748063895
б,1070,0.33229813664596275,21.858878504672898,35.365420560747665,0.4635306334371755,0.49804957334416905,435.0928124727051,74.55596209275916,0.06201436893852695,0.01062656244195541
в,889,0.4703703703703704,21.15973003374578,22.249718785151856,0.4917007325303849,0.48294815420799675,164.8725328062901,351.5730456358872,0.04351346867413305,0.09278781885349358
г,509,0.2827777777777778,14.605108055009824,19.20039292730845,0.3488489244874314,0.4136452938024648,12.996804088296715,353.4252260875942,0.0035853252657370247,0.09749661409312943
д,801,0.29276315789473684,27.691635455680398,26.33083645443196,0.5679071373549021,0.4523363652577136,801.3635031740912,427.2143216734388,0.14431181400577908,0.07693396752628108
е,711,0.3878887070376432,17.524613220815752,23.852320675105485,0.4348582426530461,0.4967895798935975,239.4875959653506,172.86147163025868,0.06420578980304306,0.04634355807781734
ё,890,0.36223036223036226,18.165168539325844,32.842696629213485,0.45171496156120644,0.5135918811163466,950.7868312081807,17.28317131675292,0.17318521515631707,0.003148118636931315
ж,1205,0.385230179028133,33.08049792531121,23.575933609958508,0.4788134018703165,0.5016874135546335,142.07452970851045,1799.801409066648,0.021079307078414013,0.2670328500098884
з,541,0.3197399527186761,21.920517560073936,22.160813308687615,0.5977290731449696,0.4600176806236438,227.39079065603852,140.1663415117483,0.06487611716292112,0.03999039700763147
и,930,0.41333333333333333,23.843010752688173,21.98494623655914,0.4661838929120035,0.476930596285435,406.30421551624465,676.7830223147184,0.0897909868544187,0.1495653087988328
й,1139,0.35046153846153844,23.82001755926251,35.55399473222125,0.46571464406658186,0.539906167690957,1614.430988937973,154.90304712557642,0.2400640875744198,0.023033910353245566
к,840,0.39697542533081287,20.277380952380952,23.446428571428573,0.42838624338624337,0.49880952380952387,611.2078925736962,464.55644132653055,0.14442530542856716,0.1097723160034335
л,705,0.31929347826086957,27.373049645390072,22.73049645390071,0.5611287158593632,0.48289992119779357,276.4554780946632,589.008802374126,0.06254648825671114,0.13325991003939502
м,1044,0.38666666666666666,30.413793103448278,22.136973180076627,0.4985388661601403,0.4803857540926506,184.58501783590958,1286.1566926865435,0.03281511428193948,0.22865007869982995
н,899,0.39955555555555555,23.805339265850947,21.93103448275862,0.4654150870581826,0.47570532915360497,407.8243221673816,679.5909631391202,0.09012692202594068,0.15018584820754036
о,754,0.3646034816247582,21.395225464190982,23.041114058355436,0.474307568934674,0.47915465344250946,43.623046668871226,359.43935614828786,0.010524257338690283,0.08671637060272325
п,855,0.38,23.729824561403507,21.575438596491228,0.4638739706408879,0.4676236044657097,410.8800123114805,698.2574453678055,0.09080221266552056,0.15431103765034376
р,1054,0.33470943156557637,22.06831119544592,27.857685009487668,0.45800676511838956,0.40693462135587377,48.04830968318039,293.8589632339438,0.007173530857447058,0.0438726430626969
с,632,0.3447899618112384,16.115506329113924,24.604430379746834,0.39777648234510327,0.5131397908640616,192.77916449687552,153.65014621054323,0.0516834221171248,0.04119306868915368
т,551,0.2782828282828283,21.47005444646098,18.372050816696916,0.476047777824674,0.3948193367431117,109.62204011185736,558.2799826087529,0.02767534463818666,0.14094420161796337
у,748,0.22666666666666666,20.99197860962567,27.22192513368984,0.4079995634617483,0.40341423282599753,399.67920872773027,431.72839514999,0.05829626731734689,0.06297088610705805
ф,1494,0.28802776171197225,27.761713520749666,46.78246318607764,0.47788774144195834,0.5086940354008627,741.9242503257116,67.52791128816922,0.06434728970734706,0.0058567139018360125
х,712,0.3296296296296296,22.879213483146067,21.962078651685392,0.46551518049246954,0.47641087844739527,446.0876230905189,626.8975054443885,0.10304634398025385,0.14481346857112232
ц,914,0.32070175438596493,25.028446389496718,24.11925601750547,0.49037645692850446,0.4128438574554548,959.2371330482789,570.2899331574487,0.1668528671157208,0.09919810978560596
ч,729,0.3375,26.28395061728395,18.617283950617285,0.5379563961124244,0.40039281705948376,313.85840573083374,749.8131382411217,0.07250136422518681,0.17320700814070725
ш,1308,0.39817351598173517,35.968654434250766,22.71177370030581,0.4856757560312606,0.4934494022796775,64.50251159647989,2429.329251769866,0.008771078541811245,0.3303412091065904
щ,1361,0.3270848353761115,37.2747979426892,23.72226304188097,0.5038166380929056,0.4057546971764459,350.6331920871167,2330.739885797332,0.04087586757835354,0.27171134131468083
ъ,752,0.34104308390022675,24.659574468085108,23.920212765957448,0.49290780141843976,0.5209139264990329,69.56269805341782,579.8361532367586,0.015716831914464036,0.1310068127511881
ы,1130,0.3985890652557319,30.887610619469026,24.16283185840708,0.48205823579788754,0.5264279967819792,171.93475526666145,1431.651292975174,0.02868447702146504,0.23884739622542112
ь,699,0.37886178861788616,18.09585121602289,25.426323319027183,0.42739628040057226,0.5551437117960724,320.558543678789,184.2446986395852,0.08649717854257664,0.049715245180675986
э,555,0.3027823240589198,23.9981981981982,21.295495495495494,0.6052157420578473,0.44120642381511943,25.018021264507738,246.63146173200232,0.006707244306838536,0.0661210353168907
ю,1217,0.3699088145896657,33.43467543138866,22.89975349219392,0.470067759875198,0.4760815976563896,41.40504790731686,2034.0322350648742,0.005824313955171876,0.28612072514627573
я,858,0.43333333333333335,23.166666666666668,22.094405594405593,0.5155038759689923,0.4794183089637635,434.0277777777777,437.04387745122017,0.10957530365508147,0.11033675270164608
